,City,City Name,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country
317,5720495,Coos Bay,43.3665,-124.2179,59.23,85,90,9.22,US
318,2427036,Ngama,11.7833,17.1667,90.07,45,14,8.28,TD
319,2511174,Santa Cruz de Tenerife,28.4682,-16.2546,77.02,78,20,18.41,ES
320,5859699,College,64.8569,-147.8028,64.24,80,40,0.0,US
321,504294,Puchezh,56.9788,43.1676,69.31,81,72,5.14,RU
322,1526384,Boralday,43.3578,76.8594,66.06,82,90,4.47,KZ
323,5527953,Pampa,35.5362,-100.9599,81.23,61,40,11.5,US
324,3441665,Minas,-34.3759,-55.2377,54.52,68,36,10.67,UY
325,3515762,Tetela de Ocampo,19.8167,-97.8,65.93,84,99,6.49,MX
326,3598670,Chicamán,15.4,-90.7667,75.25,52,77,4.72,GT
327,1492566,Severo-Yeniseyskiy,60.3725,93.0408,58.17,97,93,3.29,RU
328,2090021,Namatanai,-3.6667,152.4333,79.38,82,96,10.07,PG
329,556268,Ostrovnoy,68.0531,39.5131,54.21,89,68,6.49,RU
330,6050066,La Ronge,55.1001,-105.2842,79.39,36,45,6.13,CA
331,934322,Mahébourg,-20.4081,57.7,70.25,74,18,15.66,MU
332,3577154,Oranjestad,12.524,-70.027,80.13,83,79,22.28,AW
333,1791779,Wanning,18.8003,110.3967,80.82,82,33,2.06,CN
334,4026082,Lázaro Cárdenas,17.9583,-102.2,86.11,69,85,4.7,MX
335,2167426,Emerald,-23.5333,148.1667,69.98,52,4,14.56,AU
336,4954611,Watertown,42.3709,-71.1828,86.4,63,86,1.01,US
337,1278176,Attingal,8.6833,76.8333,82.08,87,100,5.7,IN
338,1279945,Jiuquan,39.7432,98.5174,68.68,48,60,1.97,CN
339,2641434,Northam,51.0333,-4.2167,72.27,82,2,8.28,GB
340,3839479,Rafaela,-31.2503,-61.4867,60.33,51,0,5.01,AR
341,919544,Chililabombwe,-12.3648,27.8229,66.42,43,26,9.93,ZM
342,2693759,Ludvika,60.1496,15.1878,79.66,54,87,2.91,SE
343,167357,Manbij,36.5281,37.9549,92.17,28,2,18.21,SY
344,3526536,Jesús del Monte,19.1081,-99.9944,76.41,81,81,3.83,MX
345,2640006,Portree,57.4129,-6.1942,58.51,91,82,8.88,GB
346,2178753,Kirakira,-10.4544,161.9205,79.68,85,45,13.2,SB
347,4034551,Faanui,-16.4833,-151.75,79.66,71,3,19.46,PF
348,477940,Ust-Tsilma,65.441,52.1498,63.66,66,55,3.13,RU
349,7671223,Kloulklubed,7.0419,134.2556,82.18,78,93,5.28,PW
350,3837056,San Luis,-33.295,-66.3356,63.27,19,0,5.12,AR
351,8079926,Labuhan,-6.8844,112.2051,75.74,74,100,6.98,ID
352,4036284,Alofi,-19.0595,-169.9187,76.14,84,10,20.6,NU
353,1497337,Kayerkan,69.3497,87.7602,48.58,63,63,0.47,RU
354,5870133,Nome,64.5011,-165.4064,48.27,87,90,11.5,US
355,1855540,Naze,28.3667,129.4833,78.26,79,29,11.12,JP
356,4362001,Mayo,38.8876,-76.5119,89.78,70,66,5.99,US
357,2129868,Iwanai,42.9744,140.5089,64.51,95,69,4.92,JP
358,3396979,Juruti,-2.1522,-56.0922,91.85,45,66,4.72,BR
359,2259655,Impfondo,1.6381,18.0667,80.42,59,100,3.91,CG
360,3054296,Csemő,47.118,19.6909,81.48,49,44,5.91,HU
361,2016307,Solnechnyy,50.7214,136.6319,71.2,97,100,3.2,RU
362,1737185,Kapit,2.0167,112.9333,72.03,93,98,0.87,MY
